 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  1;  1;  1.0000;  2.0000;    19;     4;     0;     0;    23;0.000320;0.000067;0.000388;1.000000;0.826087;0.826087;1.000000;1.000000;1.000000;0.038777;0.032033;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000171;0.000171;0.000000;0.000171;0.000171
 All;  1;  2;  1.0000;  6.0000;    18;     1;     0;     0;    19;0.000367;0.000020;0.000388;1.000000;0.947368;0.947368;1.000000;1.000000;1.000000;0.038777;0.036736;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000196;0.000196;0.000000;0.000196;0.000196
 All;  1;  3;  1.0000; 10.0000;    21;     0;     0;     0;    21;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1;  4;  1.0000; 14.0000;    21;     0;     0;     0;    21;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1;  5;  1.0000; 18.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1;  6;  1.0000; 22.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1;  7;  1.0000; 26.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1;  8;  1.0000; 30.0000;    22;     0;     0;     0;    22;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1;  9;  1.0000; 34.0000;    19;     1;     0;     0;    20;0.000368;0.000019;0.000388;1.000000;0.950000;0.950000;1.000000;1.000000;1.000000;0.038777;0.036838;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000197;0.000197;0.000000;0.000197;0.000197
 All;  1; 10;  1.0000; 38.0000;    24;     0;     0;     0;    24;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 11;  1.0000; 42.0000;    24;     0;     0;     0;    24;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 12;  1.0000; 46.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 13;  1.0000; 50.0000;    19;     0;     0;     0;    19;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
